STATE,STATE_NAME,Land_Area_ha,Terrestrial_Protected_ha,Terrestrial_Protected_Percent,Terrestrial_Count,Mean_Terrestrial_Size_ha,Marine_Protected_ha,Marine_Count,Mean_Marine_Size_ha
VIC,Victoria,22741600,4899452.31,21.54,3260,1502.9,280.42,3,93.47
NSW,New South Wales,80064200,7864023.16,9.82,1017,7732.57,348847.52,476,732.87
QLD,Queensland,173064800,17154726.29,9.91,1278,13423.1,12616706.97,2347,5375.67
SA,South Australia,98348200,28774349.1,29.26,2145,13414.61,3023880.06,351,8615.04
WA,Western Australia,252987500,77136333.97,30.49,1971,39135.63,5340257.86,346,15434.27
TAS,Tasmania,6840100,1934394.08,28.28,2599,744.28,13496.86,25,539.87
NT,Northern Territory,134912900,33294785.24,24.68,282,118066.61,2443934.83,11,222175.89
ACT,Australian Capital Territory,235800,131902.39,55.94,76,1735.56,0.0,0,0
